fiscal_year,ssa,person_orcid,first_name,middle_name,last_name,proposal_role,affiliation_uei,affiliation_name,factor1_assessment,factor2_assessment,factor3_assessment,factor4_assessment,person_overall_assessment,multiple_mitigation,mitigation_explanation_person,mitigation_strategy_proposal,mitigation_explanation_proposal,proposal_number,opportunity_number,proposal_title,submitting_entity_uei,submitting_entity_name,review_type,reviewing_component,reviewing_subcomponent,assessment_state,approved_date,review_notes,mitigation_status,award_type,award_state,fain,awarded_date,award_pop_start,award_pop_end,proposal_files,person_files,review_files
2024,SSA-integration,1385-8950-3310-4586,David,,Moore,Co-PI,CZ5TQAGRDPFT,Tyrell Corp,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,Prohibited Factors,Threat Briefs,analysis deployment synergy deployment innovation innovation deployment analysis deployment deployment integration research optimization deployment.,"Cessation, Increased Reporting",,72534778,OPP-813090,Automated bi-directional pricing structure Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,I2O,Completed,5/4/2022 5:39,BpmyGtEEiUyHHLSJzPgaatbtaJAazicSJwGNIyruSpqRmvzMIpdvVyMTJcHpTnCXLRXqFGIbpnmdmeYpphpTDvZPcIXA TyoLvRNwvHdqodLkrGIMQ QUAPOFa,Pending,Grant,In Negotiation,,12/8/2025 4:47,9/14/2025 22:46,4/8/2023 3:14,proposal_72534778.pdf,person_Moore.pdf,
2024,SSA-integration,6903-5170-2921-3573,John,,Miller,Collaborator,VWDUSH65P3UT,Wayne Enterprises,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,,optimization innovation research deployment synergy deployment analysis development solutions synergy.,"Cessation, Increased Reporting",,72534778,OPP-813090,Automated bi-directional pricing structure Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,I2O,Completed,5/4/2022 5:39,BpmyGtEEiUyHHLSJzPgaatbtaJAazicSJwGNIyruSpqRmvzMIpdvVyMTJcHpTnCXLRXqFGIbpnmdmeYpphpTDvZPcIXA TyoLvRNwvHdqodLkrGIMQ QUAPOFa,Pending,Grant,In Negotiation,,12/8/2025 4:47,9/14/2025 22:46,4/8/2023 3:14,proposal_72534778.pdf,,
2024,SSA-integration,9029-9262-4368-5599,Patricia,Jane,Brown,Consultant,VWDUSH65P3UT,Wayne Enterprises,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,"Cessation, Increased Reporting",synergy innovation development development integration research.,"Cessation, Increased Reporting",,72534778,OPP-813090,Automated bi-directional pricing structure Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,I2O,Completed,5/4/2022 5:39,BpmyGtEEiUyHHLSJzPgaatbtaJAazicSJwGNIyruSpqRmvzMIpdvVyMTJcHpTnCXLRXqFGIbpnmdmeYpphpTDvZPcIXA TyoLvRNwvHdqodLkrGIMQ QUAPOFa,Pending,Grant,In Negotiation,,12/8/2025 4:47,9/14/2025 22:46,4/8/2023 3:14,proposal_72534778.pdf,,
2024,SSA-integration,7026-3615-3405-5343,Mary,Mary,Jones,Student,P0BJREZAN0YF,Stark Industries,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",development strategy optimization synergy innovation development strategy integration solutions deployment synergy synergy.,"Cessation, Increased Reporting",,72534778,OPP-813090,Automated bi-directional pricing structure Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,I2O,Completed,5/4/2022 5:39,BpmyGtEEiUyHHLSJzPgaatbtaJAazicSJwGNIyruSpqRmvzMIpdvVyMTJcHpTnCXLRXqFGIbpnmdmeYpphpTDvZPcIXA TyoLvRNwvHdqodLkrGIMQ QUAPOFa,Pending,Grant,In Negotiation,,12/8/2025 4:47,9/14/2025 22:46,4/8/2023 3:14,proposal_72534778.pdf,,
2024,SSA-strategy,4607-7811-9415-6646,Mary,Robert,Davis,PI,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Threat Briefs,innovation analysis innovation synergy development solutions solutions research integration strategy development strategy innovation solutions strategy.,Threat Briefs,synergy deployment strategy research innovation.,27184753,OPP-473602,Ameliorated didactic strategy Project,8JK40Q30BVHV,Cyberdyne Systems,Initial,DARPA,CDMRP,In Progress,3/13/2021 23:56,rxGkSLUrvskTVickJACAlizqfSHCxAokeqYVnncnYIvhtgZkBkr ZCxUaMSFTeSqERAbt,Not Needed,FAR-based Contract,Declined,,8/25/2021 19:51,,8/20/2024 22:22,proposal_27184753.pdf,,review_27184753.docx
2025,SSA-solutions,8891-4867-3529-7308,Patricia,,Miller,Consultant,EB3Q82NDH2ZA,MomCorp,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,"Cessation, Increased Reporting",analysis synergy integration research analysis development optimization research development development synergy deployment optimization analysis.,,,77213552,OPP-614123,Adaptive modular solution Project,1317BRU1K5HM,Blue Sun Corp,Initial,DARPA,CDMRP,Canceled,9/25/2024 21:58,zKrELZp MXBYQF biVQdrjVOwWKMmYxWKTQGhkFwarlEIAFeEMHCMMTooDaJqpWvKZOxynApREbrMOAPfESQgUZvmBdzwsSjtdoomhVvNIXaQNQMjVqamaSWHLozgwxapeWjXTnBxXTMHtPOXFcbsDXsIKyByZMfNgr EfhdscuEVWFSji,Not Needed,FAR-based Contract,Pending,,12/13/2024 11:49,6/23/2023 5:21,,proposal_77213552.pdf,person_Miller.pdf,
2025,SSA-solutions,8291-2539-5590-1671,Jane,,Moore,PI,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Threat Briefs,,,,77213552,OPP-614123,Adaptive modular solution Project,1317BRU1K5HM,Blue Sun Corp,Initial,DARPA,CDMRP,Canceled,9/25/2024 21:58,zKrELZp MXBYQF biVQdrjVOwWKMmYxWKTQGhkFwarlEIAFeEMHCMMTooDaJqpWvKZOxynApREbrMOAPfESQgUZvmBdzwsSjtdoomhVvNIXaQNQMjVqamaSWHLozgwxapeWjXTnBxXTMHtPOXFcbsDXsIKyByZMfNgr EfhdscuEVWFSji,Not Needed,FAR-based Contract,Pending,,12/13/2024 11:49,6/23/2023 5:21,,proposal_77213552.pdf,,
2025,SSA-solutions,4018-3350-8748-8348,Peter,,Taylor,Consultant,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,strategy integration solutions research innovation innovation integration integration optimization.,,,77213552,OPP-614123,Adaptive modular solution Project,1317BRU1K5HM,Blue Sun Corp,Initial,DARPA,CDMRP,Canceled,9/25/2024 21:58,zKrELZp MXBYQF biVQdrjVOwWKMmYxWKTQGhkFwarlEIAFeEMHCMMTooDaJqpWvKZOxynApREbrMOAPfESQgUZvmBdzwsSjtdoomhVvNIXaQNQMjVqamaSWHLozgwxapeWjXTnBxXTMHtPOXFcbsDXsIKyByZMfNgr EfhdscuEVWFSji,Not Needed,FAR-based Contract,Pending,,12/13/2024 11:49,6/23/2023 5:21,,proposal_77213552.pdf,person_Taylor.pdf,
2025,SSA-solutions,3724-1804-5344-7280,Susan,,Taylor,Student,EB3Q82NDH2ZA,MomCorp,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Threat Briefs,analysis development deployment research optimization optimization.,,,77213552,OPP-614123,Adaptive modular solution Project,1317BRU1K5HM,Blue Sun Corp,Initial,DARPA,CDMRP,Canceled,9/25/2024 21:58,zKrELZp MXBYQF biVQdrjVOwWKMmYxWKTQGhkFwarlEIAFeEMHCMMTooDaJqpWvKZOxynApREbrMOAPfESQgUZvmBdzwsSjtdoomhVvNIXaQNQMjVqamaSWHLozgwxapeWjXTnBxXTMHtPOXFcbsDXsIKyByZMfNgr EfhdscuEVWFSji,Not Needed,FAR-based Contract,Pending,,12/13/2024 11:49,6/23/2023 5:21,,proposal_77213552.pdf,,
2023,SSA-innovation,8936-7468-4916-2583,David,,Anderson,Student,VWDUSH65P3UT,Wayne Enterprises,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,Threat Briefs,,,,12443080,OPP-501224,Assimilated tangible parallelism Project,VWDUSH65P3UT,Wayne Enterprises,Initial,USA,DSO,Draft,5/24/2025 18:33,DOlbsLgDZgMQwkQ MNNDzBfGZMrVtOCcKUVJbtmey wXnSdxrmWaBTFLcOiTednkAzDXjcyrbBqlLTlWdqCaArcGlT ,Not Needed,FAR-based Contract,In Negotiation,,,5/2/2025 8:36,,proposal_12443080.pdf,person_Anderson.pdf,review_12443080.docx
2023,SSA-innovation,3676-7476-9924-9756,Peter,,Jones,Co-PI,95C7CBF2RFOV,Acme Corp,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",,,,12443080,OPP-501224,Assimilated tangible parallelism Project,VWDUSH65P3UT,Wayne Enterprises,Initial,USA,DSO,Draft,5/24/2025 18:33,DOlbsLgDZgMQwkQ MNNDzBfGZMrVtOCcKUVJbtmey wXnSdxrmWaBTFLcOiTednkAzDXjcyrbBqlLTlWdqCaArcGlT ,Not Needed,FAR-based Contract,In Negotiation,,,5/2/2025 8:36,,proposal_12443080.pdf,,review_12443080.docx
2024,SSA-optimization,9313-1364-2874-9660,Peter,,Smith,Collaborator,VWDUSH65P3UT,Wayne Enterprises,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Prohibited Factors,"Cessation, Increased Reporting",development solutions deployment solutions research development analysis deployment development integration deployment deployment.,"Cessation, Increased Reporting",strategy integration strategy research deployment synergy research strategy synergy.,34254173,OPP-946935,Configurable value-added system engine Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,DSO,Canceled,9/15/2021 22:00,,Not Needed,Grant,In Negotiation,,1/14/2021 5:27,,9/15/2020 9:51,proposal_34254173.pdf,,
2024,SSA-optimization,5342-2934-7908-4582,David,,Jones,Student,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,,strategy strategy integration integration optimization integration strategy strategy strategy.,"Cessation, Increased Reporting",strategy integration strategy research deployment synergy research strategy synergy.,34254173,OPP-946935,Configurable value-added system engine Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,DSO,Canceled,9/15/2021 22:00,,Not Needed,Grant,In Negotiation,,1/14/2021 5:27,,9/15/2020 9:51,proposal_34254173.pdf,,
2024,SSA-optimization,1031-4233-3498-2165,Mary,,Anderson,PI,VWDUSH65P3UT,Wayne Enterprises,Prohibited Factors,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",research strategy analysis solutions research innovation deployment research development research analysis solutions solutions.,"Cessation, Increased Reporting",strategy integration strategy research deployment synergy research strategy synergy.,34254173,OPP-946935,Configurable value-added system engine Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,DSO,Canceled,9/15/2021 22:00,,Not Needed,Grant,In Negotiation,,1/14/2021 5:27,,9/15/2020 9:51,proposal_34254173.pdf,person_Anderson.pdf,
2024,SSA-optimization,5006-7509-4651-4179,Michael,Patricia,Anderson,Co-PI,P0BJREZAN0YF,Stark Industries,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,"Cessation, Increased Reporting",solutions strategy strategy development integration innovation solutions integration strategy solutions synergy.,"Cessation, Increased Reporting",strategy integration strategy research deployment synergy research strategy synergy.,34254173,OPP-946935,Configurable value-added system engine Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,DSO,Canceled,9/15/2021 22:00,,Not Needed,Grant,In Negotiation,,1/14/2021 5:27,,9/15/2020 9:51,proposal_34254173.pdf,person_Anderson.pdf,
2024,SSA-strategy,9424-6238-3468-6323,Robert,,Miller,PI,CZ5TQAGRDPFT,Tyrell Corp,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,"Cessation, Increased Reporting",solutions synergy synergy synergy analysis strategy strategy research integration.,Threat Briefs,,94466286,OPP-013088,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,CDMRP,Canceled,8/3/2020 3:11,,Pending,Other Transaction Authority,Declined,,,4/10/2025 18:33,,proposal_94466286.pdf,person_Miller.pdf,
2024,SSA-strategy,7209-9708-3693-3439,Michael,,Moore,PI,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,"Cessation, Increased Reporting",optimization solutions development research research research deployment synergy research research strategy innovation.,Threat Briefs,,94466286,OPP-013088,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,CDMRP,Canceled,8/3/2020 3:11,,Pending,Other Transaction Authority,Declined,,,4/10/2025 18:33,,proposal_94466286.pdf,,
2024,SSA-strategy,6106-2475-7344-3226,Linda,,Taylor,Consultant,4K0AW4066EK0,Virtucon,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,,solutions development optimization development synergy deployment solutions synergy innovation research deployment integration innovation.,Threat Briefs,,94466286,OPP-013088,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,CDMRP,Canceled,8/3/2020 3:11,,Pending,Other Transaction Authority,Declined,,,4/10/2025 18:33,,proposal_94466286.pdf,person_Taylor.pdf,
2024,SSA-strategy,8305-6338-1273-4359,Jane,,Taylor,Student,2GM2D03Z4F45,Omni Consumer Products,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,development synergy research strategy solutions integration optimization optimization strategy analysis research research development.,Threat Briefs,,94466286,OPP-013088,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,CDMRP,Canceled,8/3/2020 3:11,,Pending,Other Transaction Authority,Declined,,,4/10/2025 18:33,,proposal_94466286.pdf,,
2024,SSA-strategy,1250-3427-8548-5434,Jane,Peter,Miller,Collaborator,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",,Threat Briefs,,94466286,OPP-013088,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,CDMRP,Canceled,8/3/2020 3:11,,Pending,Other Transaction Authority,Declined,,,4/10/2025 18:33,,proposal_94466286.pdf,,
2024,SSA-optimization,3548-1270-1025-6300,Patricia,John,Anderson,Collaborator,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Threat Briefs,analysis development research research strategy solutions solutions solutions solutions research optimization development solutions integration.,"Cessation, Increased Reporting",,43665378,OPP-419824,Compatible demand-driven workforce Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,I2O,Draft,8/16/2022 3:59,LgTfxdougyvbmZqWzdxtazMfYRynZQGQKCicgEhTUhURpYuAxWNLgBDuHTWtMXFiEYRnWZEaGeXxaLQBNogiOxxPnRqGLLJC OmCbSk,Complete,Other,In Negotiation,,3/28/2025 17:01,8/23/2021 11:32,2/20/2023 19:13,proposal_43665378.pdf,person_Anderson.pdf,review_43665378.docx
2024,SSA-optimization,9586-4824-9787-8619,Linda,,Anderson,PI,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Threat Briefs,,"Cessation, Increased Reporting",,43665378,OPP-419824,Compatible demand-driven workforce Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,DARPA,I2O,Draft,8/16/2022 3:59,LgTfxdougyvbmZqWzdxtazMfYRynZQGQKCicgEhTUhURpYuAxWNLgBDuHTWtMXFiEYRnWZEaGeXxaLQBNogiOxxPnRqGLLJC OmCbSk,Complete,Other,In Negotiation,,3/28/2025 17:01,8/23/2021 11:32,2/20/2023 19:13,proposal_43665378.pdf,,review_43665378.docx
2024,SSA-solutions,5260-7018-8099-8748,Susan,Robert,Smith,Consultant,4K0AW4066EK0,Virtucon,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,"Cessation, Increased Reporting",deployment strategy optimization innovation synergy strategy strategy deployment deployment.,Threat Briefs,synergy strategy research deployment analysis integration synergy strategy.,13271664,OPP-537725,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,CDMRP,In Progress,7/8/2021 12:17,,Pending,Other Transaction Authority,Pending,,,9/8/2024 18:10,,proposal_13271664.pdf,person_Smith.pdf,
2024,SSA-solutions,9313-1364-2874-9660,Peter,,Smith,Consultant,95C7CBF2RFOV,Acme Corp,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,,,Threat Briefs,synergy strategy research deployment analysis integration synergy strategy.,13271664,OPP-537725,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,CDMRP,In Progress,7/8/2021 12:17,,Pending,Other Transaction Authority,Pending,,,9/8/2024 18:10,,proposal_13271664.pdf,person_Smith.pdf,
2024,SSA-solutions,6666-2150-1318-9273,Michael,David,Williams,Collaborator,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",research deployment deployment deployment synergy integration research innovation solutions synergy.,Threat Briefs,synergy strategy research deployment analysis integration synergy strategy.,13271664,OPP-537725,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,ACC,CDMRP,In Progress,7/8/2021 12:17,,Pending,Other Transaction Authority,Pending,,,9/8/2024 18:10,,proposal_13271664.pdf,,
2023,SSA-research,3259-2258-9144-5642,Linda,,Wilson,Collaborator,EB3Q82NDH2ZA,MomCorp,Prohibited Factors,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,,,,,10392819,OPP-567185,Ameliorated didactic strategy Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,NGA,DSO,Completed,3/15/2022 23:26,BOUuVPQZoFsekxjzrupjhJmJZQjMfHXXnfoVhFPpfYHZhgvKPUsxzwzLrsOLrhQrPshHkcYeKMGJMkMYSUsLIBGyakaTuSEDEFFDCkQQZMZxUvqCDFXqnENv,Pending,Other Transaction Authority,Awarded,FAIN2378169,7/25/2020 4:15,12/2/2025 13:07,6/27/2023 9:22,proposal_10392819.pdf,,
2023,SSA-research,7058-6482-4903-3575,Susan,David,Miller,Consultant,EB3Q82NDH2ZA,MomCorp,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,"Cessation, Increased Reporting",integration development development integration synergy synergy research development analysis deployment research integration analysis.,,,10392819,OPP-567185,Ameliorated didactic strategy Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,NGA,DSO,Completed,3/15/2022 23:26,BOUuVPQZoFsekxjzrupjhJmJZQjMfHXXnfoVhFPpfYHZhgvKPUsxzwzLrsOLrhQrPshHkcYeKMGJMkMYSUsLIBGyakaTuSEDEFFDCkQQZMZxUvqCDFXqnENv,Pending,Other Transaction Authority,Awarded,FAIN2378169,7/25/2020 4:15,12/2/2025 13:07,6/27/2023 9:22,proposal_10392819.pdf,,
2023,SSA-research,2481-7728-4240-5225,Mary,,Brown,Collaborator,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,"Cessation, Increased Reporting",,,,10392819,OPP-567185,Ameliorated didactic strategy Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,NGA,DSO,Completed,3/15/2022 23:26,BOUuVPQZoFsekxjzrupjhJmJZQjMfHXXnfoVhFPpfYHZhgvKPUsxzwzLrsOLrhQrPshHkcYeKMGJMkMYSUsLIBGyakaTuSEDEFFDCkQQZMZxUvqCDFXqnENv,Pending,Other Transaction Authority,Awarded,FAIN2378169,7/25/2020 4:15,12/2/2025 13:07,6/27/2023 9:22,proposal_10392819.pdf,,
2024,SSA-innovation,8603-5590-1153-5798,David,,Wilson,Collaborator,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",,"Cessation, Increased Reporting",development analysis optimization synergy strategy analysis strategy integration deployment development strategy.,41851404,OPP-055323,Assimilated tangible parallelism Project,S16GSAX4CIDY,Globex Inc,Initial,NGA,MSO,Completed,1/26/2023 21:47,,Pending,FAR-based Contract,In Negotiation,,,1/16/2025 23:08,4/19/2023 21:11,proposal_41851404.pdf,,review_41851404.docx
2025,SSA-innovation,9524-6512-3656-5410,Robert,,Moore,Student,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,,,Threat Briefs,,80893357,OPP-292464,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,DARPA,MSO,Canceled,1/17/2021 21:23,,Not Needed,FAR-based Contract,Pending,,11/5/2021 16:35,12/10/2020 9:23,12/4/2022 20:06,proposal_80893357.pdf,,review_80893357.docx
2025,SSA-innovation,8291-2539-5590-1671,Jane,,Moore,Consultant,EB3Q82NDH2ZA,MomCorp,Prohibited Factors,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,"Cessation, Increased Reporting",deployment synergy synergy analysis innovation analysis optimization solutions innovation.,Threat Briefs,,80893357,OPP-292464,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,DARPA,MSO,Canceled,1/17/2021 21:23,,Not Needed,FAR-based Contract,Pending,,11/5/2021 16:35,12/10/2020 9:23,12/4/2022 20:06,proposal_80893357.pdf,,review_80893357.docx
2025,SSA-innovation,6066-9462-5085-9762,Jane,,Jones,Student,4K0AW4066EK0,Virtucon,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Threat Briefs,analysis analysis solutions strategy optimization.,Threat Briefs,,80893357,OPP-292464,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,DARPA,MSO,Canceled,1/17/2021 21:23,,Not Needed,FAR-based Contract,Pending,,11/5/2021 16:35,12/10/2020 9:23,12/4/2022 20:06,proposal_80893357.pdf,,review_80893357.docx
2025,SSA-innovation,5449-1918-8071-9289,John,David,Moore,Co-PI,4K0AW4066EK0,Virtucon,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,No Mitigation Needed,,strategy analysis development synergy integration research integration development strategy innovation optimization synergy synergy synergy innovation.,Threat Briefs,,80893357,OPP-292464,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,DARPA,MSO,Canceled,1/17/2021 21:23,,Not Needed,FAR-based Contract,Pending,,11/5/2021 16:35,12/10/2020 9:23,12/4/2022 20:06,proposal_80893357.pdf,,review_80893357.docx
2025,SSA-innovation,9892-2316-2928-4644,John,,Wilson,Collaborator,8JK40Q30BVHV,Cyberdyne Systems,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Threat Briefs,research deployment research optimization optimization integration synergy analysis optimization deployment strategy.,Threat Briefs,,80893357,OPP-292464,Ameliorated didactic strategy Project,95C7CBF2RFOV,Acme Corp,Initial,DARPA,MSO,Canceled,1/17/2021 21:23,,Not Needed,FAR-based Contract,Pending,,11/5/2021 16:35,12/10/2020 9:23,12/4/2022 20:06,proposal_80893357.pdf,,review_80893357.docx
2023,SSA-innovation,8603-5590-1153-5798,David,,Wilson,Collaborator,P0BJREZAN0YF,Stark Industries,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Threat Briefs,,"Cessation, Increased Reporting",integration deployment research solutions analysis deployment synergy integration development optimization strategy innovation analysis.,81043300,OPP-551618,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,DSO,Canceled,4/5/2021 7:38,,Not Needed,Grant,Declined,,10/17/2021 2:29,10/14/2020 1:03,3/16/2021 14:34,proposal_81043300.pdf,person_Wilson.pdf,review_81043300.docx
2023,SSA-innovation,2412-4462-3155-5799,Patricia,,Davis,Co-PI,S16GSAX4CIDY,Globex Inc,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,,development research strategy optimization integration solutions integration deployment innovation deployment research innovation research analysis.,"Cessation, Increased Reporting",integration deployment research solutions analysis deployment synergy integration development optimization strategy innovation analysis.,81043300,OPP-551618,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,DSO,Canceled,4/5/2021 7:38,,Not Needed,Grant,Declined,,10/17/2021 2:29,10/14/2020 1:03,3/16/2021 14:34,proposal_81043300.pdf,,review_81043300.docx
2023,SSA-innovation,2782-3604-1777-7406,Patricia,Linda,Taylor,Co-PI,EB3Q82NDH2ZA,MomCorp,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Threat Briefs,development innovation innovation integration development research deployment.,"Cessation, Increased Reporting",integration deployment research solutions analysis deployment synergy integration development optimization strategy innovation analysis.,81043300,OPP-551618,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,DSO,Canceled,4/5/2021 7:38,,Not Needed,Grant,Declined,,10/17/2021 2:29,10/14/2020 1:03,3/16/2021 14:34,proposal_81043300.pdf,person_Taylor.pdf,review_81043300.docx
2023,SSA-innovation,9524-6512-3656-5410,Robert,,Moore,Student,4K0AW4066EK0,Virtucon,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Threat Briefs,,"Cessation, Increased Reporting",integration deployment research solutions analysis deployment synergy integration development optimization strategy innovation analysis.,81043300,OPP-551618,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,DSO,Canceled,4/5/2021 7:38,,Not Needed,Grant,Declined,,10/17/2021 2:29,10/14/2020 1:03,3/16/2021 14:34,proposal_81043300.pdf,person_Moore.pdf,review_81043300.docx
2023,SSA-innovation,6903-5170-2921-3573,John,Linda,Miller,Student,CZ5TQAGRDPFT,Tyrell Corp,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Prohibited Factors,Prohibited Factors,Threat Briefs,solutions deployment deployment integration analysis strategy integration.,"Cessation, Increased Reporting",integration deployment research solutions analysis deployment synergy integration development optimization strategy innovation analysis.,81043300,OPP-551618,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Initial,DTRA,DSO,Canceled,4/5/2021 7:38,,Not Needed,Grant,Declined,,10/17/2021 2:29,10/14/2020 1:03,3/16/2021 14:34,proposal_81043300.pdf,person_Miller.pdf,review_81043300.docx
